Month-Year,Republic of South Africa,Canada,USA,Bangladesh,Brunei,China,Hong Kong SAR (China),India,Indonesia,Japan,South Korea,Kuwait,Malaysia,Myanmar,Pakistan,Philippines,Saudi Arabia,Sri Lanka,Taiwan,Thailand,United Arab Emirates,Vietnam,Belgium & Luxembourg,Finland,France,Germany,Italy,Netherlands,Spain,Switzerland,United Kingdom,Australia,New Zealand
1/7/2010,1660,5307,35874,8645,5247,93313,38029,49118,140409,36580,22721,2332,60681,5888,2974,36021,2070,5266,19503,29062,7995,34020,2259,835,10207,13050,3542,7087,2816,6263,27227,75604,9793
1/8/2010,1937,5068,30087,6703,3969,95456,36013,44976,102085,45160,22997,605,54718,5060,1123,32215,832,6550,16077,26517,5363,25351,2283,634,13482,14921,7426,6377,4632,5583,29765,59116,8299
1/9/2010,2771,3597,24956,7379,4260,59710,24878,43310,150400,36439,18228,493,72209,4757,949,33301,1156,4911,11220,23779,3971,20105,1653,849,7429,14182,3208,4931,2741,4588,28059,74107,8603
1/10/2010,2380,4532,30268,7152,3526,71005,27741,58104,112558,34768,19796,362,62072,5732,1281,42986,788,5378,11271,41103,3361,20591,1806,1183,8917,16464,2854,5489,2566,6577,32858,70256,7963
1/11/2010,1959,5154,30149,7010,4397,72298,25689,50581,110163,39681,19695,670,72444,5145,1209,41399,1402,4988,11111,24419,5288,17991,1865,1377,10108,16640,3421,5274,2371,6371,35110,58073,6629
1/12/2010,5024,5625,28922,7391,8174,73329,27041,54048,156485,38865,17404,363,92249,7020,1494,45875,723,8399,9934,30354,4082,23002,1512,1595,9103,12813,3207,4957,2055,5339,34085,77680,6762
1/1/2011,3390,6324,33015,7605,4207,100063,25777,46419,127278,38831,26455,423,57113,5394,1261,36007,756,4692,15036,24862,3719,16891,1797,1878,9343,14684,3895,5754,1819,6245,36881,86557,7233
1/2/2011,1397,5378,28937,5949,3601,103090,31082,38453,106091,46153,23814,548,59874,5024,986,39514,1075,5162,15351,24668,3218,22046,1550,1499,9382,14734,3109,5385,1766,5988,35623,51849,3910
1/3/2011,2310,6705,34523,7765,5302,95172,28266,45661,122010,48435,19391,349,73153,7507,1157,50207,744,4788,12786,36460,4354,19430,2034,1346,10389,17094,4111,5652,2373,6099,38568,57294,6329
1/4/2011,3140,5362,28538,7366,3462,93272,45596,57428,121240,30981,18958,320,65880,8923,1275,64132,1057,7595,15365,39458,4140,21050,1789,916,10093,14417,2807,5008,2363,6517,38210,76673,10338
1/5/2011,1797,5028,30480,7440,3690,79970,31861,78689,125518,32843,23771,351,68890,6871,1301,59435,848,4980,15224,34419,3862,20422,1467,950,8684,11100,3131,4660,1708,4899,24891,65716,11897
1/6/2011,1923,4262,35366,7546,5905,79435,33006,63368,160891,31793,24397,823,76533,6866,2164,44223,1373,4621,17152,26662,4768,30167,1356,1789,7104,10669,2783,4211,1843,4145,21058,76259,11837
1/7/2011,2619,5823,38041,8570,5139,139285,47578,55778,160132,45851,29171,2152,67212,8287,2809,43072,2971,6103,26625,33204,8357,36526,2261,1718,11866,13906,3646,8268,2943,6656,26499,86939,14680
1/8/2011,1509,5034,29928,7016,4263,127420,38842,47827,140908,60353,30891,498,66232,6527,976,41417,882,6372,21227,26605,5965,23844,2131,1040,14777,15502,6956,7324,4847,5420,29818,65079,10787
1/9/2011,2430,3881,26861,8417,3619,80043,27752,47895,143418,52551,22299,654,80378,6249,1145,44415,1341,5554,15940,27286,4299,22842,1614,1132,9298,15285,3414,5485,2603,5339,30250,80645,9078
1/10/2011,2434,5284,31432,7765,3989,96774,27290,59678,122603,46425,22783,331,65808,6694,1298,53668,1022,5670,14711,38833,3426,20140,1990,1974,10061,16951,3268,6149,2924,7018,31953,77555,9078
1/11/2011,1781,5989,31749,7266,4833,75247,27132,51686,119067,49106,22707,617,81556,6250,1282,43536,1591,5727,13240,23835,6420,19790,1900,2764,9811,18231,4081,5558,2759,7152,33703,63801,8177
1/12/2011,4591,6092,31599,8017,8872,83031,30318,59178,167342,50847,20012,441,100306,7181,1471,47794,992,9294,12222,31894,5260,23650,1704,3825,10206,15568,3826,5262,2583,5934,32082,76614,9638
1/1/2012,2635,6633,32988,6816,4421,147693,32243,44440,137713,41299,28907,432,65297,5561,1227,34672,1431,4671,22391,20623,3671,22637,1865,3985,9473,18149,4628,5948,2064,6571,35860,84814,10192
1/2/2012,1839,6548,35712,7328,4400,108165,26730,48044,137058,53342,30403,596,66764,6298,1168,42459,907,5288,22744,27000,3933,22627,1988,4855,13020,21499,4726,6110,2084,7042,38120,57656,5993
1/3/2012,2639,7281,36719,8565,6266,125482,31178,52609,147348,61670,22633,295,83320,7187,1302,49491,1101,4521,16237,33652,5718,24102,2188,3546,11862,22215,4518,6003,2493,6908,41459,63022,6806
1/4/2012,2604,5647,30003,8845,4143,120228,39956,60509,138672,40707,21435,371,73854,9548,1074,63449,932,8366,19028,40287,4952,25429,2279,2036,12157,16532,4088,4813,2615,6833,32293,75301,9241
1/5/2012,2033,4929,32200,8874,4280,97320,28900,87623,142092,41205,24067,298,75407,7838,1288,59358,790,4629,16914,32931,4061,26039,1493,1410,9544,12718,3202,4495,1859,5009,22859,66273,9473
1/6/2012,2375,4476,38568,9322,6257,91957,31794,66731,162002,43211,25276,922,81001,6507,2655,41204,2250,5268,17296,29167,5448,32281,1462,1534,8200,11477,3239,4476,2018,4313,22484,85328,11332
1/7/2012,2294,6138,39121,9852,5106,153863,42301,53863,152508,52060,31130,839,65594,6927,2514,37740,1719,5120,26677,28687,6759,37527,2569,1239,13362,15739,4721,8550,3239,7487,27433,98493,12761
1/8/2012,1665,5226,32648,9152,5312,145526,38650,50241,168622,70267,33683,1084,78576,5811,1123,38240,1600,6863,21781,30644,7417,27372,2375,895,17891,17540,9939,6886,5150,6079,29309,72124,10033
1/9/2012,2395,4098,28705,9602,3817,98882,29846,49354,125998,54862,23458,562,67727,5885,1375,38672,967,5644,15160,28002,4224,21864,1748,1445,10085,17271,4554,5288,3030,5514,31034,94232,10900
1/10/2012,1996,5042,31393,9009,4616,121588,30200,56699,133744,51453,24400,511,71263,6255,1156,45550,2201,6248,16615,42788,4785,22202,1718,2267,10155,18491,3652,5902,3075,7023,32139,91218,10128
1/11/2012,1955,5682,33983,8622,5531,125519,29672,55320,138200,56686,24068,381,98071,6151,1215,43306,872,5773,16560,27508,4033,21804,1879,2568,10899,17634,4129,5692,2757,6413,34003,75446,7708
1/12/2012,4249,6817,36557,9761,9439,119755,30581,60375,168634,56560,21467,638,104359,7067,1467,45281,983,8995,16851,29996,5842,24950,1648,3086,10025,14967,3850,5045,2078,6182,33365,92776,9397
1/1/2013,2672,7669,39019,10113,5082,136643,26358,55369,152574,51178,34533,399,67672,6044,1425,35136,1777,5829,25977,26203,4085,19793,1862,3369,10984,17022,4969,6036,2149,7186,37859,107350,10782
1/2/2013,1376,6661,32339,6983,4050,177808,35685,47051,117114,57320,27640,1127,67966,4980,1056,35430,831,5559,30346,23767,3579,24155,1651,3204,11302,17211,3721,5668,2141,6463,36991,63073,5242
1/3/2013,2725,6973,38432,9215,6650,139637,39248,57296,160122,71490,23442,513,84352,7924,1440,50027,1486,6443,17420,33198,6220,23807,2269,2773,13800,22107,4364,5707,2785,6914,42931,76469,6425
1/4/2013,2207,5963,32075,9391,4017,157581,29513,61516,138163,43760,20978,455,73183,10706,1311,57149,996,10208,19126,38993,6061,27309,1721,1937,11914,15774,3449,5118,2191,6651,32262,83863,8158
1/5/2013,2036,5639,32858,9136,4977,133232,32455,87309,151652,46106,24487,292,84221,7675,1404,58390,847,6211,17658,37256,4272,25326,1630,1355,10656,12960,3459,4927,1926,6180,24149,75648,9443
1/6/2013,2269,4626,39426,9949,6472,119634,34151,74864,174712,47736,26186,779,82301,7243,2319,43538,2500,5571,22612,28829,4986,33707,1541,1483,8138,11877,3486,4884,1997,5238,24885,85095,9976
1/7/2013,2192,6146,39818,10824,5378,185197,46350,59335,160374,58643,31669,370,69165,7841,1275,39789,782,6283,32666,33500,5880,37861,2666,1127,13630,16232,4585,8145,3431,9366,31185,102187,13519
1/8/2013,1561,5716,33708,9841,5424,169705,40007,53850,196581,78380,34447,2555,86037,6510,1549,41056,3160,8690,28622,29050,9525,28930,2452,925,18812,19215,11342,7011,5766,6926,33816,73343,9991
1/9/2013,2671,4252,29997,9091,4487,129182,28417,53689,144139,62281,26574,713,74288,6725,1219,38432,977,6272,21621,29603,4715,24113,1811,1424,9376,18672,4449,5386,3228,6967,32624,95789,10344
1/10/2013,1753,5528,31813,9249,5263,93617,31085,58847,158466,55295,29244,1036,74821,8487,1337,48710,2296,6190,18816,44824,6770,24833,1937,1973,10978,19400,3949,5834,2770,8254,31608,87444,9475
1/11/2013,1614,6117,33819,9386,6568,91946,31197,56796,150644,57789,27345,351,101477,7068,1169,42905,936,5691,17164,28083,4285,24109,2085,2888,10021,19104,4342,5668,2854,7976,33825,70127,7752
1/12/2013,4607,7527,35514,10044,9527,92319,32783,66336,184681,57842,25193,813,109587,9049,1375,49129,1106,9584,15253,32802,6325,25421,1953,3153,10232,16263,4111,4959,2447,7933,33575,95381,9438
1/1/2014,2260,8051,37236,9344,5430,151194,34317,53258,173987,48668,40745,697,66150,7245,1084,34133,2371,5520,25564,28134,3554,22967,1815,3927,10528,18962,4733,6244,2558,8472,37271,109142,10247
1/2/2014,1482,7362,35526,8418,4479,144045,35033,50766,133797,57054,33921,1286,68232,7031,958,34969,1148,5158,24411,28917,3829,27391,2019,4026,12717,19788,4361,5901,2455,8133,36563,61396,6120
1/3/2014,1992,8056,40562,9729,6124,119351,34752,58998,155882,70987,27197,480,82663,9137,1332,44755,1802,5076,17426,37145,5915,26405,2341,2988,13375,23036,5037,6152,2744,7780,39567,64171,6041
1/4/2014,2922,5606,31036,9054,4295,96406,50304,66218,145037,43358,25378,422,74164,13253,1061,56709,1168,9508,21059,43263,5916,26244,2314,2034,12033,19035,4211,5440,2821,9167,36702,85278,8523
1/5/2014,1694,5856,31734,9076,5701,79711,39510,90340,162523,46397,31731,366,77834,8919,1228,57263,1306,6148,21490,37994,4325,31407,1569,1361,10576,13768,3274,4899,2196,6250,24585,72058,9921
1/6/2014,1628,4693,36972,10162,6534,78208,37885,74552,163853,47175,28898,713,85443,8979,2375,43866,1908,5750,19246,33527,5372,40436,1483,1373,8261,11828,3206,4201,2249,5054,22080,76205,10196
1/7/2014,2152,5973,38263,9250,5773,152582,56405,60411,169021,60271,36186,1094,75499,8738,1197,38950,1586,5293,30744,36965,7733,44613,2600,1086,12450,15066,4586,6905,3568,9698,28400,95582,12781
1/8/2014,1836,5464,33534,10732,4571,142740,58214,58728,143653,83534,42873,2291,71147,8362,1553,40471,4323,8425,26863,34462,10584,35029,2515,948,17526,21642,11711,7000,6569,7972,33389,75214,10119
1/9/2014,2074,4192,29489,8778,5122,89688,34660,56715,126955,64663,29616,499,79604,7764,948,38142,2067,6972,20165,29706,4684,24965,1969,1621,9265,19497,4630,5268,3704,7211,32431,89771,9864
1/10/2014,1635,5192,30591,9764,5073,108665,33080,70288,139553,57132,32221,792,75844,8411,1020,46154,1891,6304,19784,42854,6162,26165,1775,2265,11052,19706,3852,5265,3057,8749,31994,77039,8325
1/11/2014,1828,5968,33839,9348,5312,101663,33050,57331,129206,56263,28442,372,83024,7436,1107,41865,1536,6855,17459,29057,4485,25635,2283,2671,10301,18906,4301,5636,3324,8304,32915,65747,6822
1/12/2014,4191,6868,36664,10813,9516,98423,34903,66061,163528,59926,28823,711,111825,9221,1229,49393,1150,7632,14718,31237,7106,27369,1992,2893,9546,15987,4481,5192,2952,7947,32818,85884,9012
1/1/2015,2512,8031,38620,9970,4886,111290,28013,59361,132786,47358,47979,1197,66708,7340,1257,32690,2213,5700,23478,28690,4256,24906,1737,3334,10071,17614,4708,5263,3006,8684,38239,95829,10802
1/2/2015,1316,6863,32505,7312,4325,191067,35643,49204,99961,52713,35610,454,61482,5689,770,32365,865,5430,29131,24289,3684,23760,1650,2967,12086,17995,3672,5351,2408,7612,36908,54327,5655
1/3/2015,2203,7557,39701,9554,6224,101924,35883,59473,125808,67646,29672,495,82932,9216,1111,42881,1617,7135,19833,34776,7140,27347,2171,2782,11340,23134,4603,5716,3136,7342,42291,61040,7036
1/4/2015,2500,5925,31465,9231,4481,118388,44738,70917,123212,39367,29751,444,72938,11954,935,55697,778,9965,22075,37247,6083,31299,2078,1957,11506,16792,3853,4949,2654,8257,34308,70900,8555
1/5/2015,1977,5702,33347,9854,4976,106560,38682,101086,139552,45472,32833,429,79873,8664,1201,54539,655,7151,18951,38583,5041,30131,1582,1228,10323,14606,3508,4963,2663,6257,25046,64657,9326
1/6/2015,1771,4767,38842,9305,4626,112783,37667,80993,142925,44727,29177,458,81803,8852,1659,42449,641,5383,22998,34155,4798,38188,1438,1363,7930,11969,3410,3881,2333,4857,21942,75991,10879
1/7/2015,2471,5876,40375,11297,6674,200210,59901,68876,173389,58168,39151,1463,81555,8366,2031,40891,1969,6304,35292,39672,8992,45043,2856,1143,14846,16818,4792,8210,4353,9660,32953,89234,13838
1/8/2015,1994,5565,34785,10014,4302,206666,61067,66108,124121,80922,46883,1964,70125,7477,1953,43265,1582,8178,31826,34232,9061,32747,2583,1111,19040,23607,13951,6581,7455,7572,35685,73833,11481
1/9/2015,2334,4514,29459,9868,5234,118724,35314,59398,117274,64608,30817,881,76485,7128,1231,39648,1634,6845,22800,34334,6352,24834,1930,1298,8793,19849,4697,5047,3920,6514,33613,87855,11462
1/10/2015,2461,5953,34130,10097,4410,128781,34909,71514,125277,56094,36917,522,71584,8346,1598,46803,791,7420,22454,53351,4720,26213,2144,2323,11980,21875,4538,5749,3615,8506,35743,83075,10240
1/11/2015,1932,6582,35300,9042,5744,114796,31946,68609,118841,56081,32226,299,83877,7152,1262,47550,716,6998,19368,32769,5155,25102,2077,2376,10922,21239,4390,5833,3776,7960,35244,67886,8347
1/12/2015,4208,7348,38021,11024,10036,121981,35664,70113,165565,55295,32989,807,103065,9030,1516,53700,786,8892,17664,38141,7510,27128,1944,2887,10190,20669,4123,5158,2695,7663,34079,87896,8648
1/1/2016,2827,8486,39847,10588,5068,174312,29137,64617,145756,52392,50801,1429,68446,7295,1368,35145,1280,6094,28603,36659,4783,25981,1873,3971,10957,23301,5381,5878,2875,8068,41314,97829,9595
1/2/2016,1466,7683,34532,8141,4335,209678,38467,52752,122538,56326,41401,416,66633,6598,1134,38296,751,5974,32320,33111,4207,29498,2013,3508,14917,23912,4317,5622,2769,8128,41128,54239,4928
1/3/2016,2610,7598,37819,10487,6342,165468,46380,66357,143432,68764,28457,609,80169,9850,1222,47839,1220,6241,21854,40701,7832,28805,2411,2799,12748,27989,4185,5498,3864,8002,45733,66993,5808
1/4/2016,2584,6246,34083,9981,4756,186748,35161,77300,133351,42848,31329,387,80189,13246,1328,59941,695,10980,26149,50682,6194,34449,2077,1701,14271,17871,4648,5428,2547,7865,37091,76162,8667
1/5/2016,1973,6341,35257,10146,5264,157461,34271,107258,148759,47400,34796,518,74404,8979,1691,58995,940,6813,21296,44136,5407,34454,1666,1319,10579,16292,3846,5425,2665,6202,25184,60330,9216
1/6/2016,1672,4364,40936,8658,4670,158666,35535,86003,147009,46587,35022,248,75172,9214,1029,45069,420,5351,27871,32264,4187,43488,1410,1288,7996,12019,3724,3889,2237,4434,21387,71884,10169
1/7/2016,2532,6551,42361,11493,5983,236124,51721,71282,186218,57397,45019,1666,80587,9430,3441,45492,2039,7253,33313,42414,10350,48958,2937,1404,14745,17619,5359,8273,4463,9938,33624,92454,13362
1/8/2016,1976,5852,34293,9266,4329,228580,49836,66343,130525,83356,48344,1852,66016,7587,2079,41571,1769,9801,28956,34446,8704,38351,2739,1004,20662,23196,14397,7839,7770,7805,38099,68245,10700
1/9/2016,2228,4625,30769,9536,5166,124756,27006,62322,119073,61066,30684,1217,77753,6729,1726,37905,1456,6940,23416,32420,7036,28041,2081,1521,10087,20626,5117,5389,3958,6613,33708,84427,10856
1/10/2016,2281,5699,34393,9642,3730,124643,27668,78837,131864,53877,26988,358,74017,7772,1716,47251,552,7050,20685,47102,4310,27035,2309,2285,12604,24115,4610,5792,3726,9203,37041,75391,9886
1/11/2016,1883,6948,38393,9389,4779,131594,26710,68471,133018,55161,28075,348,80413,7245,1306,44945,991,7529,17963,30387,4585,28643,2153,2097,11081,22422,4664,5785,3492,7861,34571,66505,7876
1/12/2016,4551,7531,42446,10308,8679,150665,29411,77174,186231,53110,29672,726,101570,12911,1744,54919,737,10823,17332,37183,7100,31285,1893,2496,10395,20816,4507,5288,3086,7565,33521,89446,8907
1/1/2017,2953,8324,41901,9083,4895,238873,29045,63923,152165,45911,43313,992,65659,8976,1337,37267,960,5198,28861,30511,4331,31125,1921,3491,10997,23758,5454,6035,2864,8002,38922,99159,9390
1/2/2017,1494,8414,41087,8350,3961,190471,27338,61567,131618,63024,44325,472,68101,9116,1399,42072,767,5517,29053,33442,4613,28207,2109,3474,15191,26735,4695,5915,3136,8844,44015,61802,6134
1/3/2017,2412,8595,42465,9794,6904,178321,29780,70293,165399,72406,32142,643,84781,11938,1756,51301,927,6350,22241,39434,7945,31443,2254,2740,13260,30238,4748,5775,3362,7279,46157,66669,6833
1/4/2017,3326,6284,35633,8511,4281,171042,43460,92809,156480,40401,37580,362,75276,17940,1238,65180,799,10281,23932,47151,5737,33682,2474,2295,13822,24842,4729,5681,3853,10512,42321,84248,10084
1/5/2017,2010,6628,37285,8965,4324,160435,28988,132026,140933,47231,40983,290,74453,11025,1238,58996,506,7630,25066,40798,4888,36844,1580,1468,11089,15872,3896,5117,2902,6256,26579,63485,9457
1/6/2017,1692,5218,47110,9456,5313,152799,28467,105818,165898,45793,39112,509,84386,11339,1267,49575,581,6187,24019,30478,6304,50591,1542,1714,8608,14877,3580,4300,2943,4850,25263,78133,10723
1/7/2017,2571,6845,48010,10768,5251,254950,43029,79815,178396,56680,47900,1417,71720,11838,3627,48284,1267,7200,35545,43065,9044,58349,3593,1493,16184,19388,6250,9352,5692,10244,34788,93386,13783
1/8/2017,1976,6706,37427,9178,4318,254572,41502,76705,141680,84450,47735,1720,74880,10312,1887,44961,1180,10407,31083,36001,9593,43919,2889,1191,20751,23995,17232,8665,9989,7647,39031,70814,10501
1/9/2017,2385,5191,33684,10680,5038,154513,29021,86193,138330,62456,38450,518,73696,9296,1722,43810,777,8207,24378,35016,5340,35317,2266,1936,10561,22775,6001,6132,5506,6878,37829,93419,11406
1/10/2017,2130,6234,36128,9047,3950,170731,28124,92580,139717,55910,41776,321,77091,10957,1375,50072,556,8323,26610,52272,4696,33438,2234,2658,12612,25062,4785,6374,5080,9062,37533,81092,10771
1/11/2017,1942,7538,45107,8587,4842,166056,29241,72427,146897,63209,39474,394,84586,10851,1668,52214,703,8663,21397,33968,5346,32527,2096,2812,12460,23719,5181,6401,4877,7914,39323,72618,8414
1/12/2017,5254,8574,47722,11615,8840,160868,29834,92820,183904,54811,33060,680,103421,12499,2099,52689,719,11044,17501,31181,6723,33860,1955,3082,10720,20553,4681,5644,3525,7720,36884,92986,9578
1/1/2018,3238,10287,48760,10920,5591,204246,26205,86681,163976,55307,50976,1047,69852,9282,1801,36753,1156,7420,28005,32431,4460,31432,2117,4144,13444,25645,7281,6508,3925,8080,44818,98601,10390
1/2/2018,1656,9850,44584,8554,4720,263956,30025,65692,131423,59616,37723,542,65784,8935,1176,37561,483,6526,35670,30362,4120,35137,2184,4231,16082,26270,6120,6594,3538,8305,48628,56555,5647
1/3/2018,2826,11158,49876,10508,7161,181840,37164,88409,162906,73734,35844,562,88729,13005,2179,51756,836,7405,23959,40560,8346,35832,2677,3560,15440,30289,6191,6790,4934,8525,54669,75004,7026
1/4/2018,2929,8656,44016,9633,5285,196873,33365,103724,147790,43670,34573,471,80106,15118,1625,63932,562,13239,29192,49488,5875,41723,2534,1987,16423,22750,5793,7059,3833,8607,46757,82952,10141
1/5/2018,1969,8120,41533,8931,4955,175881,31807,146781,145023,46485,37943,250,74244,11503,1343,64481,376,7825,22600,44185,4547,45269,1700,1261,13367,18479,4595,5975,3406,6355,30533,69670,10121
1/6/2018,2448,6049,52232,10400,5457,166903,33247,116653,193320,46271,35463,641,91084,11344,2250,55243,1059,7124,27249,33981,4710,55824,1688,1691,9548,15883,4420,4954,3481,4655,27667,81772,11935
1/7/2018,3342,7924,55328,10274,5402,265645,42308,94191,164855,61896,44124,1427,76211,12526,3367,53107,1418,9140,39085,47036,8922,63476,4398,1659,19605,23181,7184,10522,6413,9963,40883,99305,15665
1/8/2018,2808,8507,42214,10322,4838,271720,42888,83509,133467,91094,45036,2009,81352,10216,2200,52675,1435,11011,33925,36321,9784,49645,3628,1063,24175,26657,20617,10628,10923,7674,45672,77281,11930
1/9/2018,2773,6676,38050,9545,5573,163986,31592,84569,138430,68153,38741,363,83441,9606,1675,47476,727,8647,26964,35953,4961,37341,2313,1885,12270,25717,6707,7202,5935,6712,45510,96675,12647
1/10/2018,2251,7509,40712,10624,4620,169472,29840,92689,139457,62825,42050,351,80818,11999,1404,56387,622,8170,24248,54359,4877,36355,2365,2561,14349,26275,4999,7036,4683,8376,41928,86225,11215
